"author","comment","commentsCount","pageUrl","replyCount","title","type","videoID","voteCount"
"@MrBeast","I noticed some comments asking how they take their clothes off when they shower. We put buttons on the sides of the shirts so they can just rip them off without taking off the handcuffs haha","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","553","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"130000"
"@MiguelSilveira-x8f","Olk","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@SelimCopet","😭😭😭😿😓","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"1"
"@ДаняКалинков","Я еще не досмотрел видео, но если он снимет цепь раньше, то он ее не любит","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@guadalupehernandezlezama9804","Que vivan los novios","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@نجمالدين-ص5س7خ","❤❤❤❤","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@guadalupehernandezlezama9804","Me en canto","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@guadalupehernandezlezama9804","Hola misterbis","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@nicholasbarone","One of the best challenges ever!","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@Tasawrmirza-u5v","Nice challenge","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@ميروعلي-ك3م","صعد الرسول عليه الصلاة والسلام الي السماء السابعه وعندما نزل الي الارض كان ينام علي الأرض ويأكل مع الفقراء  ايه تواضع هذاا صلوا عليه وسلموا تسليما","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@KatherynCarbo","It so funny that when they say mrbeast date","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@ابوعمروالعرج","انا عمري١٩ ها بايجي يوم وانا لديا  شريك
انا لم املك شريك طول حياتي","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@DipakMAJUMDAR-b5q","1 mor chn minamDipak","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@عمروعبدالنصيرعبدالنصير","I want to participate with you in advance","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@haeaKemalhaeaKemal","Vitamin","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@YaninaSantacruz-v4g","Hola soy de Paraguay saludos","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@drkabhisar","23:59 At this point I would have immediately unlocked myself and shared half the prize with other person 😂","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@saminakhan9901","I  almost cry😊","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
